,sportnik,tipAktivnosti,zacetekAktivnosti,trajanjeAktivnosti,razdaljaAktivnosti,vzponAktivnosti,kalorijeAktivnosti,tempoAktivnosti,kadenceAvgAktivnosti,kadenceMaxAktivnosti
0,4,biking,2017-02-28T08:22:50.000Z,11306.0,29.042720703125,1873.2000427246094,1520,06:29,103,115.0
1,4,biking,2017-03-31T12:05:43.000Z,4092.0,15.2771201171875,472.2000002861023,361,04:27,125,125.0
2,4,biking,2015-01-20T08:49:44.000Z,9988.0,37.68416015625,1352.39990234375,968,04:25,98,124.0
3,4,biking,2015-05-16T14:09:19.000Z,1757.0,7.77202978515625,221.7999267578125,152,03:46,0.0,0.0
4,4,biking,2015-06-07T10:03:42.000Z,1405.0,3.741340087890625,220.20000457763672,138,06:15,0.0,0.0
5,4,biking,2016-05-22T08:53:09.000Z,3.0,0.0019800000190734863,0.0,0,25:15,0.0,0.0
6,4,biking,2016-03-10T13:41:03.000Z,2780.0,9.973490234375,334.2001647949219,366,04:38,70,121.0
7,4,biking,2014-07-14T08:37:27.000Z,5764.0,18.5500703125,714.9998779296875,487,05:10,77,98.0
8,4,biking,2017-04-12T12:38:06.000Z,8162.0,27.760630859375,932.1998596191406,663,04:54,113,126.0
9,4,biking,2016-05-08T09:31:18.000Z,6276.0,21.9541796875,1133.1999969482422,1010,04:45,121,121.0
10,4,running,2016-01-16T10:03:50.000Z,3464.0,9.7262802734375,284.599853515625,564,05:56,0.0,0.0
11,4,biking,2017-03-19T08:44:09.000Z,18014.0,75.51115625,2060.6000591516495,1979,03:58,140,140.0
12,4,biking,2016-06-02T09:28:49.000Z,13498.0,51.96776171875,850.2000732421875,1515,04:19,0.0,0.0
13,4,biking,2017-02-01T10:25:31.000Z,10526.0,40.9106796875,1040.8000285327435,1190,04:17,104,153.0
14,4,biking,2016-04-13T08:22:46.000Z,8262.0,28.61425,1371.2001647949219,1226,04:48,91,122.0
15,4,biking,2016-05-29T08:57:47.000Z,7558.0,1.5453699951171875,20.60009765625,35,21:30,115,115.0
16,4,biking,2017-08-06T17:50:32.000Z,1713.0,9.8478701171875,169.8000030517578,153,02:53,0.0,0.0
